"","genere","anno_raggr","tasso_standard"
"1","FEMMINE","2015-19",1239.50804533457
"2","FEMMINE","2020",1333.92372949151
"3","FEMMINE","2021",1261.45291976228
"4","FEMMINE","2022",1279.77051503896
"5","FEMMINE","2023",1177.08423873711
"6","FEMMINE","2024",1142.16274745891
"7","FEMMINE","2025",1120.41046368207
"8","MASCHI","2015-19",1260.54869474178
"9","MASCHI","2020",1377.48441276266
"10","MASCHI","2021",1295.74112561439
"11","MASCHI","2022",1261.29094662261
"12","MASCHI","2023",1156.64601356018
"13","MASCHI","2024",1113.71843792244
"14","MASCHI","2025",1083.4755688413
