"","anno","fascia_decennale","decessi","pop","tasso_mort"
"1","2011","0-9",2296,5624753,40.8195702104608
"2","2012","0-9",2252,5603331,40.1903796152681
"3","2013","0-9",2126,5598269,37.9760243746772
"4","2014","0-9",2014,5554574,36.258406135196
"5","2015","0-9",1982,5479480,36.1713155262908
"6","2016","0-9",1867,5390728,34.6335411469471
"7","2017","0-9",1858,5284489,35.159501703949
"8","2018","0-9",1853,5166669,35.8644999321613
"9","2019","0-9",1539,5030025,30.5962694022395
"10","2020","0-9",1426,4892494,29.1466887849019
"11","2021","0-9",1364,4794850,28.44718812893
"12","2022","0-9",1241,4666151,26.5957959783127
"13","2023","0-9",1307,4549691,28.7272256511486
"14","2024","0-9",1293,4441148,29.114093923463
"15","2025","0-9",1137,4326218,26.2816159518545
"16","media_2015_19","0-9",NA,NA,34.4850255423176
"17","2011","10-19",1030,5732506,17.9677090612727
"18","2012","10-19",957,5727165,16.7098381136217
"19","2013","10-19",899,5702446,15.7651646328611
"20","2014","10-19",843,5691072,14.8126750109645
"21","2015","10-19",892,5693133,15.6679986221998
"22","2016","10-19",839,5695515,14.730889129429
"23","2017","10-19",831,5701743,14.5744906425982
"24","2018","10-19",857,5715430,14.9944973519053
"25","2019","10-19",763,5715538,13.3495744407613
"26","2020","10-19",714,5706116,12.5128896783732
"27","2021","10-19",799,5698708,14.0207218899442
"28","2022","10-19",804,5689761,14.1306462608886
"29","2023","10-19",801,5689516,14.0785261874648
"30","2024","10-19",795,5666380,14.0301215237947
"31","2025","10-19",803,5621509,14.284420784526
"32","media_2015_19","10-19",NA,NA,14.6634900373787
"33","2011","20-29",2464,6432403,38.3060576272973
"34","2012","20-29",2268,6414341,35.3582698518835
"35","2013","20-29",2161,6404169,33.7436441792838
"36","2014","20-29",1960,6365695,30.7900394222469
"37","2015","20-29",2000,6295884,31.7667860462486
"38","2016","20-29",1940,6230219,31.1385522724001
"39","2017","20-29",1879,6198035,30.3160598480002
"40","2018","20-29",1930,6177702,31.241390406983
"41","2019","20-29",1840,6137906,29.9776503582818
"42","2020","20-29",1664,6084382,27.3487101894654
"43","2021","20-29",1808,6002919,30.1186805952238
"44","2022","20-29",1781,5924686,30.0606648183549
"45","2023","20-29",1766,5934014,29.7606308310024
"46","2024","20-29",1731,5962570,29.0311057144822
"47","2025","20-29",1670,6020296,27.7394998518345
"48","media_2015_19","20-29",NA,NA,30.8880877863827
"49","2011","30-39",4698,8644501,54.3466881431328
"50","2012","30-39",4606,8411056,54.7612570882895
"51","2013","30-39",4310,8220540,52.429645741034
"52","2014","30-39",4025,8003341,50.2914970135597
"53","2015","30-39",3893,7737641,50.3124918822158
"54","2016","30-39",3667,7499926,48.8938157523154
"55","2017","30-39",3462,7285291,47.5204079013453
"56","2018","30-39",3450,7104527,48.5605867920553
"57","2019","30-39",3194,6975233,45.790585060026
"58","2020","30-39",3235,6854632,47.1943643364079
"59","2021","30-39",3396,6709398,50.6155693849135
"60","2022","30-39",3199,6624521,48.2902839314722
"61","2023","30-39",3125,6600786,47.3428467458269
"62","2024","30-39",3065,6570438,46.6483360774426
"63","2025","30-39",2910,6539673,44.497637725923
"64","media_2015_19","30-39",NA,NA,48.2155774775915
"65","2011","40-49",13019,9609381,135.482191829005
"66","2012","40-49",13058,9684272,134.837187555244
"67","2013","40-49",12599,9746171,129.271279972412
"68","2014","40-49",11945,9758870,122.401466563239
"69","2015","40-49",12203,9696794,125.845717667097
"70","2016","40-49",11464,9609128,119.303229179588
"71","2017","40-49",11444,9479261,120.726710658141
"72","2018","40-49",11009,9323244,118.081217224391
"73","2019","40-49",10554,9157311,115.252173918741
"74","2020","40-49",10749,8937229,120.272178322834
"75","2021","40-49",10727,8701071,123.283673929336
"76","2022","40-49",10091,8477954,119.026359425871
"77","2023","40-49",9379,8277541,113.306596729633
"78","2024","40-49",8965,8061697,111.204874110252
"79","2025","40-49",8427,7827372,107.660655453708
"80","media_2015_19","40-49",NA,NA,119.841809729592
"81","2011","50-59",27964,7826058,357.319099858447
"82","2012","50-59",28141,7990841,352.165685689404
"83","2013","50-59",27926,8176421,341.543078567016
"84","2014","50-59",27780,8377495,331.602704627099
"85","2015","50-59",28932,8598433,336.479914421616
"86","2016","50-59",28424,8791925,323.296661425115
"87","2017","50-59",28363,8974984,316.022847505912
"88","2018","50-59",28478,9134590,311.760024259436
"89","2019","50-59",28059,9288391,302.086766157885
"90","2020","50-59",30735,9414195,326.47507301474
"91","2021","50-59",31123,9441640,329.635529420736
"92","2022","50-59",29355,9542372,307.627914736504
"93","2023","50-59",28108,9602066,292.728669017688
"94","2024","50-59",27060,9619515,281.303163413124
"95","2025","50-59",26025,9579543,271.672667474847
"96","media_2015_19","50-59",NA,NA,317.929242753993
"97","2011","60-69",61366,6876323,892.424628686
"98","2012","60-69",61739,6934305,890.341569919408
"99","2013","60-69",60406,6992630,863.852370281282
"100","2014","60-69",60347,7056894,855.149588473342
"101","2015","60-69",62641,7163467,874.450876928727
