"","NOME_REGIONE","genere","tasso_2025","tasso_2015_19","diff_tasso","diff_tasso_perc"
"1","Abruzzo","FEMMINE",1168.5910952987,1307.29495990719,-138.703864608494,-10.6099900070249
"2","Abruzzo","MASCHI",1177.7693625925,1350.74044879278,-172.971086200273,-12.8056494017682
"3","Basilicata","FEMMINE",1231.03263937435,1323.60433586117,-92.5716964868175,-6.99391003630915
"4","Basilicata","MASCHI",1203.78659454106,1350.69298614172,-146.906391600663,-10.876371840821
"5","Calabria","FEMMINE",1094.2413927137,1190.1002929718,-95.8589002581059,-8.05469092178244
"6","Calabria","MASCHI",1116.50533939786,1291.67056257803,-175.165223180167,-13.5611376658269
"7","Campania","FEMMINE",1006.229188005,1110.83756355909,-104.608375554091,-9.41707221521471
"8","Campania","MASCHI",1016.78056260661,1177.62241816846,-160.841855561851,-13.6581856017998
"9","Emilia-Romagna","FEMMINE",1165.00090083066,1256.58547868886,-91.5845778582054,-7.28836831329341
"10","Emilia-Romagna","MASCHI",1090.80324526398,1247.517106427,-156.713861163022,-12.5620611016601
"11","Friuli-Venezia Giulia","FEMMINE",1229.32653000916,1381.97320153334,-152.646671524184,-11.0455594475217
"12","Friuli-Venezia Giulia","MASCHI",1186.98324117979,1408.89600067785,-221.912759498059,-15.7508261355907
"13","Lazio","FEMMINE",1060.03242788471,1208.49789016454,-148.465462279825,-12.2851238291869
"14","Lazio","MASCHI",1053.06236164572,1223.22988398534,-170.16752233962,-13.9113280804755
"15","Liguria","FEMMINE",1444.06974683512,1587.79169122157,-143.721944386453,-9.05168764775942
"16","Liguria","MASCHI",1330.79769933597,1552.02632996294,-221.228630626976,-14.2541802517138
"17","Lombardia","FEMMINE",1081.68507330399,1174.51466751448,-92.829594210488,-7.90365559307444
"18","Lombardia","MASCHI",999.381315151266,1167.2509114911,-167.869596339835,-14.3816204971209
"19","Marche","FEMMINE",1215.38318772951,1318.45839781329,-103.075210083781,-7.81785836054703
"20","Marche","MASCHI",1128.59139511026,1317.19475927444,-188.603364164176,-14.3185632068614
"21","Molise","FEMMINE",1306.89188816207,1407.04474252343,-100.152854361362,-7.11795803889969
"22","Molise","MASCHI",1307.29932115613,1467.52150892393,-160.222187767798,-10.9178766235107
"23","Piemonte","FEMMINE",1272.06684153134,1423.25066407348,-151.183822542142,-10.6224311963037
"24","Piemonte","MASCHI",1220.74678265083,1415.1969911573,-194.450208506467,-13.7401513514703
"25","Puglia","FEMMINE",1064.05175263884,1175.32637278582,-111.274620146986,-9.46755069259928
"26","Puglia","MASCHI",1081.24553992817,1225.8038683188,-144.558328390626,-11.7929411161746
"27","Sardegna","FEMMINE",1164.52649889362,1247.99020849471,-83.4637096010829,-6.68784971492321
"28","Sardegna","MASCHI",1242.22712740674,1350.1797004573,-107.95257305056,-7.99542261033822
"29","Sicilia","FEMMINE",1099.33554356421,1233.58578937156,-134.25024580735,-10.8829273945951
"30","Sicilia","MASCHI",1078.42784771551,1280.16500103415,-201.737153318645,-15.7586836974668
"31","Toscana","FEMMINE",1222.59647012787,1344.36710219625,-121.770632068376,-9.05784081367679
"32","Toscana","MASCHI",1161.7583843354,1350.59200614814,-188.833621812744,-13.9815444599952
"33","Trentino-Alto Adige/Südtirol","FEMMINE",933.480821112657,1026.15093074341,-92.6701096307528,-9.03084593643711
"34","Trentino-Alto Adige/Südtirol","MASCHI",898.200256310247,1051.97144289496,-153.771186584711,-14.6174297432963
"35","Umbria","FEMMINE",1233.3838013615,1369.03214612458,-135.648344763082,-9.90833890548675
"36","Umbria","MASCHI",1197.37312970897,1381.22777591142,-183.854646202443,-13.3109577876194
"37","Valle d'Aosta/Vallée d'Aoste","FEMMINE",1239.37790604457,1342.83098179249,-103.453075747919,-7.70410253789528
"38","Valle d'Aosta/Vallée d'Aoste","MASCHI",962.401515907051,1401.81648254762,-439.414966640568,-31.3461121417254
"39","Veneto","FEMMINE",1078.52807761728,1195.65085000756,-117.122772390274,-9.79573362821883
"40","Veneto","MASCHI",1032.93412548073,1209.67809523896,-176.743969758237,-14.6108266698276
