"","anno_raggr","fascia_anagrafica","decessi","pop","tasso_mort"
"1","2015-19","60-69",297889,36312645,0.820345089155582
"2","2015-19","70-79",643007,28834232,2.23001257671784
"3","2015-19","80-89",1255637,17019298,7.37772498019601
"4","2015-19","90+",792099,3545035,22.3438978740689
"5","2015-19","<60",239466,214569175,0.111603169467376
"6","2020","60-69",64809,7364364,0.880035261700807
"7","2020","70-79",146559,5968373,2.45559384441958
"8","2020","80-89",291970,3628160,8.0473297759746
"9","2020","90+",194285,791543,24.5450973604719
"10","2020","<60",48523,41889048,0.11583696053441
"11","2021","60-69",64739,7420429,0.872442819680641
"12","2021","70-79",139909,5988381,2.33634099099573
"13","2021","80-89",272569,3674065,7.41873102408368
"14","2021","90+",182601,804752,22.6903443545341
"15","2021","<60",49217,41348586,0.119029463304985
"16","2022","60-69",60922,7580726,0.803643344977777
"17","2022","70-79",135055,6018436,2.2440215364922
"18","2022","80-89",274352,3685175,7.44474821412823
"19","2022","90+",196699,820351,23.9774194216866
"20","2022","<60",46471,40925445,0.11355038411922
"21","2023","60-69",58114,7763802,0.74852501390427
"22","2023","70-79",126494,6073115,2.08285204544949
"23","2023","80-89",252866,3687700,6.85701114515823
"24","2023","90+",178640,818970,21.81276481434
"25","2023","<60",44486,40653614,0.109426925734081
"26","2024","60-69",57788,7964817,0.725540837912535
"27","2024","70-79",123603,6141543,2.01257241054895
"28","2024","80-89",246805,3704907,6.66157072228804
"29","2024","90+",179482,838215,21.4124061249202
"30","2024","<60",42909,40321748,0.106416517458519
"31","2025","60-69",57747,8197328,0.704461258595484
"32","2025","70-79",125067,6248977,2.00139958908474
"33","2025","80-89",244770,3715275,6.58820679492097
"34","2025","90+",183023,867273,21.1032742861821
"35","2025","<60",41223,39914611,0.103277970064646
